n, time
59300, 4.692000
59400, 4.820000
59500, 5.042000
59600, 5.063000
59700, 5.054000
59800, 5.143000
59900, 5.459000
60000, 5.526000
60100, 5.204000
60200, 5.147000
60300, 5.194000
60400, 5.422000
60500, 5.243000
60600, 5.277000
60700, 5.457000
60800, 5.183000
60900, 5.259000
61000, 5.519000
61100, 5.426000
61200, 5.676000
61300, 5.407000
61400, 5.437000
61500, 5.363000
61600, 5.589000
61700, 6.865000
61800, 6.388000
61900, 5.507000
62000, 5.425000
62100, 5.406000
62200, 5.416000
62300, 5.814000
62400, 6.169000
62500, 6.726000
62600, 5.616000
62700, 6.243000
62800, 5.791000
62900, 5.404000
63000, 5.901000
63100, 5.804000
63200, 5.835000
63300, 5.907000
63400, 5.939000
63500, 6.129000
63600, 5.834000
63700, 6.221000
63800, 5.796000
63900, 6.249000
64000, 5.885000
64100, 6.362000
64200, 6.639000
64300, 5.970000
64400, 6.417000
64500, 6.395000
64600, 6.085000
64700, 6.075000
64800, 6.016000
64900, 6.013000
65000, 6.129000
65100, 6.223000
65200, 6.688000
65300, 6.239000
65400, 6.422000
65500, 6.359000
65600, 6.602000
65700, 6.444000
65800, 7.168000
65900, 6.334000
66000, 6.170000
66100, 6.307000
66200, 6.987000
66300, 6.436000
66400, 7.146000
66500, 6.632000
66600, 6.607000
66700, 6.764000
66800, 6.411000
66900, 6.548000
67000, 6.698000
67100, 6.907000
67200, 7.374000
67300, 6.503000
67400, 6.626000
67500, 6.798000
67600, 6.649000
67700, 6.283000
67800, 6.299000
67900, 6.265000
68000, 6.599000
68100, 6.560000
68200, 7.225000
68300, 6.637000
68400, 6.736000
68500, 6.978000
68600, 7.013000
68700, 6.793000
68800, 6.601000
68900, 6.646000
69000, 6.641000
69100, 6.882000
69200, 7.164000
69300, 6.817000
69400, 7.462000
69500, 6.995000
69600, 6.471000
69700, 6.720000
69800, 7.064000
69900, 7.046000
70000, 7.575000
70100, 7.528000
70200, 6.671000
70300, 6.746000
70400, 7.006000
70500, 6.982000
70600, 6.763000
70700, 6.795000
70800, 6.805000
70900, 7.041000
71000, 7.592000
71100, 7.815000
71200, 7.081000
71300, 7.463000
71400, 7.211000
71500, 7.470000
71600, 8.009000
71700, 7.887000
71800, 7.762000
71900, 8.604000
72000, 7.315000
72100, 8.118000
72200, 8.077000
72300, 7.466000
72400, 7.545000
72500, 7.715000
72600, 7.620000
72700, 7.727000
72800, 7.971000
72900, 7.656000
73000, 7.914000
73100, 7.830000
73200, 7.287000
73300, 7.466000
73400, 7.290000
73500, 7.265000
73600, 8.315000
73700, 7.966000
73800, 7.890000
73900, 8.223000
74000, 7.729000
74100, 7.748000
74200, 7.895000
74300, 8.151000
74400, 8.812000
74500, 8.060000
74600, 8.558000
74700, 9.167000
74800, 8.411000
74900, 8.004000
75000, 7.657000
75100, 7.696000
75200, 8.266000
75300, 8.035000
75400, 8.000000
75500, 7.937000
75600, 7.734000
75700, 7.718000
75800, 7.684000
75900, 7.776000
76000, 7.901000
76100, 8.118000
76200, 7.805000
76300, 7.994000
