n, time
67400, 0.078000
67500, 0.096000
67600, 0.098000
67700, 0.092000
67800, 0.133000
67900, 0.189000
68000, 0.338000
68100, 0.247000
68200, 0.124000
68300, 0.092000
68400, 0.164000
68500, 0.116000
68600, 0.194000
68700, 0.144000
68800, 0.077000
68900, 0.075000
69000, 0.109000
69100, 0.127000
69200, 0.204000
69300, 0.167000
69400, 0.090000
69500, 0.102000
69600, 0.220000
69700, 0.097000
69800, 0.235000
69900, 0.191000
70000, 0.081000
70100, 0.126000
70200, 0.134000
70300, 0.256000
70400, 0.172000
70500, 0.173000
70600, 0.115000
70700, 0.145000
70800, 0.254000
70900, 0.100000
71000, 0.300000
71100, 0.062000
71200, 0.084000
71300, 0.077000
71400, 0.211000
71500, 0.086000
71600, 0.104000
71700, 0.166000
71800, 0.118000
71900, 0.094000
72000, 0.141000
72100, 0.190000
72200, 0.176000
72300, 0.298000
72400, 0.115000
72500, 0.355000
72600, 0.411000
72700, 0.208000
72800, 0.292000
72900, 0.084000
73000, 0.150000
73100, 0.122000
73200, 0.100000
73300, 0.198000
73400, 0.113000
73500, 0.254000
73600, 0.153000
73700, 0.154000
73800, 0.396000
73900, 0.100000
74000, 0.188000
74100, 0.171000
74200, 0.242000
74300, 0.166000
74400, 0.218000
74500, 0.153000
74600, 0.161000
74700, 0.118000
74800, 0.078000
74900, 0.190000
75000, 0.218000
75100, 0.120000
75200, 0.128000
75300, 0.126000
75400, 0.078000
75500, 0.133000
75600, 0.087000
75700, 0.106000
75800, 0.546000
75900, 0.167000
76000, 0.166000
76100, 0.086000
76200, 0.201000
76300, 0.146000
76400, 0.107000
76500, 0.086000
76600, 0.245000
76700, 0.309000
76800, 0.158000
76900, 0.127000
77000, 0.065000
77100, 0.276000
77200, 0.254000
77300, 0.252000
77400, 0.144000
77500, 0.380000
77600, 0.059000
77700, 0.251000
77800, 0.113000
77900, 0.128000
78000, 0.127000
78100, 0.124000
78200, 0.213000
78300, 0.321000
78400, 0.089000
78500, 0.180000
78600, 0.100000
78700, 0.090000
78800, 0.161000
78900, 0.199000
79000, 0.172000
79100, 0.180000
79200, 0.174000
79300, 0.144000
79400, 0.123000
79500, 0.192000
79600, 0.184000
79700, 0.191000
79800, 0.101000
79900, 0.414000
80000, 0.196000
80100, 0.124000
80200, 0.185000
80300, 0.161000
80400, 0.147000
80500, 0.160000
80600, 0.136000
80700, 0.141000
80800, 0.200000
80900, 0.152000
81000, 0.225000
81100, 0.334000
81200, 0.153000
81300, 0.176000
81400, 0.147000
81500, 0.195000
81600, 0.286000
81700, 0.098000
81800, 0.148000
81900, 0.106000
82000, 0.198000
82100, 0.346000
82200, 0.153000
82300, 0.090000
82400, 0.140000
82500, 0.195000
82600, 0.275000
82700, 0.182000
82800, 0.101000
82900, 0.265000
83000, 0.191000
83100, 0.270000
83200, 0.233000
83300, 0.081000
83400, 0.123000
83500, 0.146000
83600, 0.204000
83700, 0.133000
83800, 0.196000
83900, 0.079000
84000, 0.214000
84100, 0.290000
84200, 0.127000
84300, 0.133000
84400, 0.114000
84500, 0.077000
84600, 0.149000
84700, 0.158000
84800, 0.112000
84900, 0.208000
85000, 0.167000
85100, 0.127000
85200, 0.339000
85300, 0.140000
85400, 0.210000
85500, 0.327000
85600, 0.168000
85700, 0.096000
85800, 0.135000
85900, 0.339000
86000, 0.354000
86100, 0.161000
86200, 0.254000
86300, 0.185000
86400, 0.142000
86500, 0.401000
86600, 0.286000
86700, 0.130000
86800, 0.639000
86900, 0.141000
87000, 0.364000
87100, 0.378000
87200, 0.172000
87300, 0.125000
87400, 0.195000
87500, 0.142000
87600, 0.621000
87700, 0.175000
87800, 0.201000
87900, 0.687000
88000, 0.107000
88100, 0.205000
88200, 0.248000
88300, 0.603000
88400, 0.370000
88500, 0.389000
88600, 0.272000
88700, 0.363000
88800, 0.140000
88900, 0.265000
89000, 0.131000
89100, 0.363000
89200, 0.176000
89300, 0.169000
89400, 0.205000
89500, 0.174000
89600, 0.191000
89700, 0.310000
89800, 0.166000
89900, 0.172000
90000, 0.293000
90100, 1.221000
90200, 0.138000
90300, 0.147000
90400, 0.282000
90500, 0.684000
90600, 0.161000
90700, 0.123000
90800, 0.221000
90900, 0.556000
91000, 0.438000
91100, 0.289000
91200, 0.482000
91300, 0.310000
91400, 0.569000
91500, 0.146000
91600, 0.582000
91700, 0.137000
91800, 0.602000
91900, 0.182000
92000, 0.171000
92100, 0.176000
92200, 0.261000
92300, 0.216000
92400, 0.183000
92500, 0.231000
92600, 0.155000
92700, 0.307000
92800, 0.445000
92900, 0.173000
93000, 0.403000
93100, 0.265000
93200, 0.118000
93300, 0.177000
93400, 0.160000
93500, 0.198000
93600, 0.210000
93700, 0.292000
93800, 0.123000
93900, 0.241000
94000, 0.170000
94100, 0.298000
94200, 0.279000
94300, 0.113000
94400, 0.397000
94500, 0.243000
94600, 0.246000
94700, 0.220000
94800, 0.167000
94900, 0.332000
95000, 0.149000
95100, 0.389000
95200, 0.337000
95300, 0.415000
95400, 1.078000
95500, 0.237000
95600, 0.244000
95700, 0.301000
95800, 0.321000
95900, 0.162000
96000, 0.257000
96100, 0.260000
96200, 0.703000
96300, 0.205000
96400, 0.274000
96500, 0.166000
96600, 0.364000
96700, 0.131000
96800, 0.431000
96900, 0.329000
97000, 0.295000
97100, 0.149000
97200, 0.336000
97300, 0.524000
97400, 0.297000
97500, 1.334000
97600, 0.178000
97700, 0.265000
97800, 0.631000
97900, 0.493000
98000, 0.415000
98100, 2.162000
98200, 0.146000
98300, 0.122000
98400, 0.181000
98500, 0.893000
98600, 0.774000
98700, 0.243000
98800, 0.354000
98900, 0.222000
99000, 0.393000
99100, 0.145000
99200, 0.421000
99300, 0.319000
99400, 0.226000
99500, 0.169000
99600, 0.261000
99700, 0.362000
99800, 0.656000
99900, 0.384000
100000, 0.598000
